run,scenario,nominated,nominated_by,answer
1,natural_disaster,Victor (ENTJ),Arthur (ISTJ),"I would nominate Victor because he has a strong track record of making quick, informed decisions in high-pressure situations and can effectively communicate with the team to ensure everyone's safety. I am 85% confident that Victor would make the right call.

NOMINEE: Victor"
1,natural_disaster,Mira (INFJ),Luna (ENFP),"I believe that Mira would be the most suitable leader in this crisis scenario because she has consistently demonstrated a strong sense of emotional intelligence and empathy, which would allow her to establish a sense of safety and trust among staff during this chaotic time. Additionally, her calm and composed demeanor would help to mitigate panic and facilitate effective communication.

Confidence: 85%

NOMINEE: Mira"
1,natural_disaster,Diego (ESTP),Victor (ENTJ),"I would nominate Diego because he has experience in crisis management and has demonstrated the ability to remain calm under pressure, making him an excellent choice to lead our response efforts. His strategic thinking will also be invaluable in assessing the situation and developing a plan to ensure staff safety and system recovery.

Confidence: 90%

NOMINEE: Diego"
1,natural_disaster,Luna (ENFP),Mira (INFJ),"I would nominate Luna because she has a proven track record of staying calm under pressure and making decisive decisions in times of crisis, which I believe would be crucial in ensuring the safety of our staff and containing the damage to our systems. Her ability to think on her feet and remain focused on the bigger picture would give me confidence that she would make the right calls to prioritize the well-being of our people and minimize the impact on our operations.

NOMINEE: Luna"
1,natural_disaster,,Diego (ESTP),"I would nominate Victor. I'm choosing Victor because he has the calm and analytical thinking needed to quickly assess the situation and make decisive decisions in a chaotic environment, which is crucial for ensuring staff safety and minimizing damage.

80%"
2,natural_disaster,Victor (ENTJ),Arthur (ISTJ),"I would nominate Victor because he has consistently demonstrated a calm and level-headed approach to crisis management, and his ability to think on his feet will be essential in this high-pressure situation. I have every confidence that he can effectively coordinate the response efforts and ensure the safety of our staff.

NOMINEE: Victor"
2,natural_disaster,Mira (INFJ),Luna (ENFP),"I would nominate Mira because she has consistently demonstrated her ability to remain calm under pressure and think critically in high-stress situations, which I believe would be essential in this crisis to ensure staff safety and coordinate the company's response. Additionally, her empathetic nature would allow her to connect with employees and provide emotional support during a traumatic event.

Confidence: 80%

NOMINEE: Mira"
2,natural_disaster,Arthur (ISTJ),Victor (ENTJ),"I would nominate Arthur because he has experience in crisis management and has shown the ability to remain calm under pressure, which is crucial in a high-stress situation like this. Additionally, his analytical mind will help him quickly assess the situation and develop a plan to ensure staff safety and get systems back online.

Confidence: 95%

NOMINEE: Arthur"
2,natural_disaster,Luna (ENFP),Mira (INFJ),"I would nominate Luna. I believe Luna's calm and composed nature under pressure, combined with her ability to think critically and make swift yet thoughtful decisions, makes her the best candidate to ensure staff safety and facilitate a swift response in this crisis.

95%

NOMINEE: Luna"
2,natural_disaster,Victor (ENTJ),Diego (ESTP),"I nominate Victor because he has a proven track record of making quick, decisive decisions in high-pressure situations and is not afraid to take charge when necessary. His ability to think on his feet and prioritize tasks effectively would be invaluable in this crisis.

NOMINEE: Victor"
